City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,dalhart,36.0595,-102.5133,6.01,87,0,4.63,US,1700121548
135,portrush,55.1959,-6.6493,4.71,92,100,1.34,GB,1700121549
136,vilyuysk,63.7553,121.6247,-12.78,85,100,5.81,RU,1700121549
137,wajir,1.7471,40.0573,27.98,78,75,4.12,KE,1700121550
138,heihe,50.2441,127.4902,-4.75,97,100,3.17,CN,1700121550
139,mahibadhoo,3.7833,72.9667,28.29,71,76,0.29,MV,1700121550
140,west island,-12.1568,96.8225,28.99,58,40,6.17,CC,1700121551
141,college,64.8569,-147.8028,-7.03,86,75,2.06,US,1700121551
142,vorgashor,67.5833,63.95,-14.6,96,100,5.33,RU,1700121551
143,manicore,-5.8092,-61.3003,24.96,55,48,1.21,BR,1700121551
144,aral,40.5156,81.2636,9.72,22,2,1.55,CN,1700121552
145,bertoua,4.5833,13.6833,24.81,79,93,1.48,CM,1700121552
146,crane,31.3974,-102.3501,13.43,89,78,4.44,US,1700121552
147,papatowai,-46.5619,169.4708,14.04,55,98,3.02,NZ,1700121553
148,margate,51.3813,1.3862,10.5,81,100,0.89,GB,1700121553
149,la passe,45.5549,-0.8967,15.57,82,96,13.68,FR,1700121553
150,udachny,66.4167,112.4,-11.97,84,100,8.06,RU,1700121554
151,tura,25.5198,90.2201,26.35,63,100,1.61,IN,1700121554
152,woolgoolga,-30.1106,153.2007,23.36,91,99,2.79,AU,1700121554
153,enewetak,11.3474,162.3373,28.53,83,99,8.43,MH,1700121554
154,whitehorse,60.7161,-135.0538,-1.57,80,100,8.23,CA,1700121555
155,fale old settlement,-9.3852,-171.2468,29.15,73,100,2.42,TK,1700121555
156,daru,-9.0763,143.2092,26.85,74,3,4.9,PG,1700121555
157,urangan,-25.3,152.9,23.82,87,65,10.07,AU,1700121556
158,saipan,15.1355,145.701,28.39,78,75,5.14,MP,1700121556
159,vredendal,-31.6683,18.5012,25.11,43,73,3.37,ZA,1700121422
160,zhangye,38.9342,100.4517,9.76,16,0,0.84,CN,1700121557
161,hermanus,-34.4187,19.2345,20.61,74,100,0.17,ZA,1700121557
162,carutapera,-1.195,-46.02,26.78,75,74,4.14,BR,1700121558
163,punta arenas,-53.15,-70.9167,3.06,87,100,7.72,CL,1700121558
164,labasa,-16.4167,179.3833,25.88,90,72,1.19,FJ,1700121559
